"Subject","Session","Condition","PP","HR","BR","D.EDA","D.HR","N.EDA","N.HR"
"T003","RestingBaseline","IH",1,1,1,1,1,1,1
"T003","BaselineWriting","IH",1,1,1,1,1,1,1
"T003","StressCondition","IH",1,1,1,1,1,1,1
"T003","DualTask","IH",1,1,1,1,1,1,1
"T003","Presentation","IH",1,1,1,1,1,1,1
"T005","RestingBaseline","IH",1,-1,1,1,1,1,1
"T005","BaselineWriting","IH",1,-1,1,1,1,1,1
"T005","StressCondition","IH",1,-1,1,1,1,1,1
"T005","DualTask","IH",1,-1,1,1,1,1,1
"T005","Presentation","IH",1,-1,1,1,1,1,1
"T006","RestingBaseline","IH",1,1,1,1,1,1,1
"T006","BaselineWriting","IH",1,1,1,1,1,1,1
"T006","StressCondition","IH",1,1,1,1,1,1,1
"T006","DualTask","IH",1,1,1,1,1,1,1
"T006","Presentation","IH",1,1,1,1,1,1,1
"T009","RestingBaseline","IH",1,-1,1,1,1,1,1
"T009","BaselineWriting","IH",1,-1,1,1,1,1,1
"T009","StressCondition","IH",1,-1,1,1,1,1,1
"T009","DualTask","IH",1,-1,1,1,1,1,1
"T009","Presentation","IH",1,-1,1,1,1,1,1
"T016","RestingBaseline","BH",1,1,1,1,1,1,1
"T016","BaselineWriting","BH",1,1,1,1,1,1,1
"T016","StressCondition","BH",1,1,1,1,1,1,1
"T016","DualTask","BH",1,1,1,1,1,1,1
"T016","Presentation","BH",1,1,1,1,1,1,1
"T019","RestingBaseline","BH",1,1,1,0,0,1,1
"T019","BaselineWriting","BH",1,1,1,0,0,1,1
"T019","StressCondition","BH",1,1,1,0,0,1,1
"T019","DualTask","BH",1,1,1,0,0,1,1
"T019","Presentation","BH",1,1,1,0,0,1,1
"T021","RestingBaseline","BH",1,0,0,0,0,0,0
"T021","BaselineWriting","BH",1,0,0,0,0,0,0
"T021","StressCondition","BH",1,0,0,0,0,0,0
"T021","DualTask","BH",1,0,0,0,0,0,0
"T021","Presentation","BH",1,0,0,0,0,0,0
"T031","RestingBaseline","IL",1,1,1,0,0,1,1
"T031","BaselineWriting","IL",1,1,1,0,0,1,1
"T031","StressCondition","IL",1,1,1,0,0,1,1
"T031","DualTask","IL",1,1,1,0,0,1,1
"T032","RestingBaseline","IL",1,1,1,0,0,1,1
"T032","BaselineWriting","IL",1,1,1,0,0,1,1
"T032","StressCondition","IL",1,1,1,0,0,1,1
"T032","DualTask","IL",1,1,1,0,0,1,1
"T032","Presentation","IL",1,1,1,0,0,1,1
"T046","RestingBaseline","BL",1,0,0,0,0,0,0
"T046","BaselineWriting","BL",1,0,0,0,0,0,0
"T046","StressCondition","BL",1,0,0,0,0,0,0
"T046","DualTask","BL",1,0,0,0,0,0,0
"T046","Presentation","BL",1,0,0,0,0,0,0
"T047","RestingBaseline","BL",1,1,1,0,0,1,1
"T047","BaselineWriting","BL",1,1,1,0,0,1,1
"T047","StressCondition","BL",1,1,1,0,0,1,1
"T047","DualTask","BL",1,1,1,0,0,1,1
"T047","Presentation","BL",1,1,1,0,0,1,1
"T061","RestingBaseline","IH",1,1,1,0,0,1,1
"T061","BaselineWriting","IH",1,1,1,0,0,1,1
"T061","StressCondition","IH",1,1,1,0,0,1,1
"T061","DualTask","IH",1,1,1,0,0,1,1
"T061","Presentation","IH",1,1,1,0,0,1,1
"T063","RestingBaseline","IH",1,1,1,0,0,1,1
"T063","BaselineWriting","IH",1,1,1,0,0,1,1
"T063","StressCondition","IH",1,1,1,0,0,1,1
"T063","DualTask","IH",1,1,1,0,0,1,1
"T063","Presentation","IH",1,1,1,0,0,1,1
"T064","RestingBaseline","IH",1,1,1,0,0,1,1
"T064","BaselineWriting","IH",1,1,1,0,0,1,1
"T064","StressCondition","IH",1,1,1,0,0,1,1
"T064","DualTask","IH",1,1,1,0,0,1,1
"T064","Presentation","IH",1,1,1,0,0,1,1
"T065","RestingBaseline","IH",1,1,1,0,0,1,1
"T065","BaselineWriting","IH",1,1,1,0,0,1,1
"T065","StressCondition","IH",1,1,1,0,0,1,1
"T065","DualTask","IH",1,1,1,0,0,1,1
"T065","Presentation","IH",1,1,1,0,0,1,1
"T066","RestingBaseline","IH",1,0,0,0,0,0,0
"T066","BaselineWriting","IH",1,0,0,0,0,0,0
"T066","StressCondition","IH",1,0,0,0,0,0,0
"T066","DualTask","IH",1,0,0,0,0,0,0
"T066","Presentation","IH",1,0,0,0,0,0,0
"T077","RestingBaseline","BH",1,1,1,0,0,1,1
"T077","BaselineWriting","BH",1,1,1,0,0,1,1
"T077","StressCondition","BH",1,1,1,0,0,1,1
"T077","DualTask","BH",1,1,1,0,0,1,1
"T077","Presentation","BH",1,1,1,0,0,1,1
"T078","RestingBaseline","BH",1,1,1,0,0,1,1
"T078","BaselineWriting","BH",1,1,1,0,0,1,1
"T078","StressCondition","BH",-1,1,1,0,0,1,1
"T078","DualTask","BH",1,1,1,0,0,1,1
"T078","Presentation","BH",1,1,1,0,0,1,1
"T079","RestingBaseline","BH",1,1,1,0,0,1,1
"T079","BaselineWriting","BH",1,1,1,0,0,1,1
"T079","StressCondition","BH",1,1,1,0,0,1,1
"T079","DualTask","BH",1,1,1,0,0,1,1
"T079","Presentation","BH",1,1,1,0,0,1,1
"T080","RestingBaseline","BH",-1,0,0,0,0,0,0
"T083","RestingBaseline","BH",1,1,1,0,0,1,1
"T083","BaselineWriting","BH",1,1,1,0,0,1,1
"T083","StressCondition","BH",1,1,1,0,0,1,1
"T083","DualTask","BH",1,1,1,0,0,1,1
"T083","Presentation","BH",1,1,1,0,0,1,1
"T084","RestingBaseline","BH",1,1,1,0,0,1,1
"T084","BaselineWriting","BH",1,1,1,0,0,1,1
"T084","StressCondition","BH",1,1,1,0,0,1,1
"T084","DualTask","BH",1,1,1,0,0,1,1
"T084","Presentation","BH",1,1,1,0,0,1,1
"T091","RestingBaseline","IL",1,1,1,0,0,1,1
"T091","BaselineWriting","IL",1,1,1,0,0,1,1
"T091","StressCondition","IL",1,1,1,0,0,1,1
"T091","DualTask","IL",1,1,1,0,0,1,1
"T091","Presentation","IL",1,1,-1,0,0,1,1
"T092","RestingBaseline","IL",1,0,0,0,0,1,1
"T092","BaselineWriting","IL",1,0,0,0,0,1,1
"T092","StressCondition","IL",1,0,0,0,0,1,1
"T092","DualTask","IL",1,0,0,0,0,1,1
"T092","Presentation","IL",1,0,0,0,0,1,1
"T093","RestingBaseline","IL",1,1,1,0,0,1,1
"T093","BaselineWriting","IL",1,1,1,0,0,1,1
"T093","StressCondition","IL",1,1,1,0,0,1,1
"T093","DualTask","IL",1,1,1,0,0,1,1
"T093","Presentation","IL",1,1,1,0,0,1,1
"T096","RestingBaseline","IL",1,1,1,0,0,-1,1
"T096","BaselineWriting","IL",1,1,1,0,0,-1,1
"T096","StressCondition","IL",1,1,1,0,0,-1,1
"T096","DualTask","IL",1,1,1,0,0,1,1
"T096","Presentation","IL",1,1,1,0,0,1,1
"T097","RestingBaseline","IL",1,1,1,0,0,1,1
"T097","BaselineWriting","IL",1,1,1,0,0,1,1
"T097","StressCondition","IL",1,1,1,0,0,1,1
"T097","DualTask","IL",1,1,1,0,0,1,1
"T097","Presentation","IL",1,1,1,0,0,1,1
"T098","RestingBaseline","IL",1,1,1,0,0,1,1
"T098","BaselineWriting","IL",1,1,1,0,0,1,1
"T098","StressCondition","IL",1,1,1,0,0,1,1
"T098","DualTask","IL",1,1,1,0,0,1,1
"T098","Presentation","IL",1,1,1,0,0,1,1
"T106","RestingBaseline","BL",1,1,1,0,0,1,1
"T106","BaselineWriting","BL",1,1,1,0,0,1,1
"T106","StressCondition","BL",1,1,1,0,0,1,1
"T106","DualTask","BL",1,1,1,0,0,1,1
"T106","Presentation","BL",1,1,1,0,0,1,1
"T108","RestingBaseline","BL",1,-1,1,0,0,1,1
"T108","BaselineWriting","BL",1,-1,1,0,0,1,1
"T108","StressCondition","BL",1,-1,1,0,0,1,1
"T108","DualTask","BL",1,-1,1,0,0,1,1
"T108","Presentation","BL",1,-1,1,0,0,1,1
"T112","RestingBaseline","BL",1,1,1,0,0,1,1
"T112","BaselineWriting","BL",1,1,1,0,0,1,1
"T112","StressCondition","BL",1,1,1,0,0,1,1
"T112","DualTask","BL",1,1,1,0,0,1,1
"T112","Presentation","BL",1,1,1,0,0,1,1
"T121","RestingBaseline","IH",1,1,1,0,0,0,0
"T121","BaselineWriting","IH",1,1,1,0,0,0,0
"T121","StressCondition","IH",1,1,1,0,0,0,0
"T121","DualTask","IH",1,1,1,0,0,0,0
"T121","Presentation","IH",1,1,1,0,0,0,0
"T122","RestingBaseline","IH",1,1,1,0,0,0,0
"T122","BaselineWriting","IH",1,1,1,0,0,0,0
"T122","StressCondition","IH",1,1,1,0,0,0,0
"T122","DualTask","IH",1,1,1,0,0,0,0
"T122","Presentation","IH",1,1,1,0,0,0,0
"T124","RestingBaseline","IH",1,1,1,0,0,0,0
"T124","BaselineWriting","IH",1,1,1,0,0,0,0
"T124","StressCondition","IH",1,1,1,0,0,0,0
"T124","DualTask","IH",1,1,1,0,0,0,0
"T124","Presentation","IH",1,1,1,0,0,0,0
"T128","RestingBaseline","IH",1,1,1,0,0,0,0
"T128","BaselineWriting","IH",1,1,1,0,0,0,0
"T128","StressCondition","IH",1,-1,1,0,0,0,0
"T128","DualTask","IH",1,1,1,0,0,0,0
"T128","Presentation","IH",1,-1,1,0,0,0,0
"T130","RestingBaseline","IH",1,-1,1,0,0,0,0
"T130","BaselineWriting","IH",1,-1,1,0,0,0,0
"T130","StressCondition","IH",1,-1,1,0,0,0,0
"T130","DualTask","IH",1,-1,1,0,0,0,0
"T130","Presentation","IH",1,-1,1,0,0,0,0
"T132","RestingBaseline","IH",1,1,1,0,0,0,0
"T132","BaselineWriting","IH",1,1,1,0,0,0,0
"T132","StressCondition","IH",1,1,1,0,0,0,0
"T132","DualTask","IH",1,1,1,0,0,0,0
"T132","Presentation","IH",1,1,1,0,0,0,0
"T136","RestingBaseline","BH",1,1,1,0,0,0,0
"T136","BaselineWriting","BH",1,1,1,0,0,0,0
"T136","StressCondition","BH",1,1,1,0,0,0,0
"T136","DualTask","BH",1,1,1,0,0,0,0
"T136","Presentation","BH",1,-1,1,0,0,0,0
"T138","RestingBaseline","BH",1,1,1,0,0,0,0
"T138","BaselineWriting","BH",1,1,1,0,0,0,0
"T138","StressCondition","BH",1,1,1,0,0,0,0
"T138","DualTask","BH",1,1,1,0,0,0,0
"T138","Presentation","BH",1,1,1,0,0,0,0
"T139","RestingBaseline","BH",1,1,1,0,0,0,0
"T139","BaselineWriting","BH",1,1,1,0,0,0,0
"T139","StressCondition","BH",1,1,1,0,0,0,0
"T139","DualTask","BH",1,1,1,0,0,0,0
"T139","Presentation","BH",1,1,1,0,0,0,0
"T140","RestingBaseline","BH",1,1,1,0,0,0,0
"T140","BaselineWriting","BH",1,1,1,0,0,0,0
"T140","StressCondition","BH",1,1,1,0,0,0,0
"T140","DualTask","BH",1,1,1,0,0,0,0
"T140","Presentation","BH",1,1,1,0,0,0,0
"T141","RestingBaseline","BH",1,1,1,0,0,0,0
"T141","BaselineWriting","BH",1,1,1,0,0,0,0
"T141","StressCondition","BH",1,1,1,0,0,0,0
"T141","DualTask","BH",1,1,1,0,0,0,0
"T141","Presentation","BH",1,1,1,0,0,0,0
"T144","RestingBaseline","BH",1,1,1,0,0,0,0
"T144","BaselineWriting","BH",1,1,1,0,0,0,0
"T144","StressCondition","BH",1,1,1,0,0,0,0
"T144","DualTask","BH",1,1,-1,0,0,0,0
"T144","Presentation","BH",1,1,1,0,0,0,0
"T145","RestingBaseline","BH",1,1,1,0,0,0,0
"T145","BaselineWriting","BH",1,1,1,0,0,0,0
"T145","StressCondition","BH",1,1,1,0,0,0,0
"T145","DualTask","BH",1,1,1,0,0,0,0
"T145","Presentation","BH",1,1,1,0,0,0,0
"T151","RestingBaseline","IL",1,1,1,0,0,0,0
"T151","BaselineWriting","IL",1,1,1,0,0,0,0
"T151","StressCondition","IL",1,1,1,0,0,0,0
"T151","DualTask","IL",1,1,1,0,0,0,0
"T151","Presentation","IL",1,1,1,0,0,0,0
"T152","RestingBaseline","IL",1,1,1,0,0,0,0
"T152","BaselineWriting","IL",1,1,1,0,0,0,0
"T152","StressCondition","IL",1,1,1,0,0,0,0
"T152","DualTask","IL",1,1,1,0,0,0,0
"T152","Presentation","IL",1,1,1,0,0,0,0
"T153","RestingBaseline","IL",-1,1,1,0,0,0,0
"T153","BaselineWriting","IL",-1,1,-1,0,0,0,0
"T153","StressCondition","IL",-1,1,1,0,0,0,0
"T153","DualTask","IL",-1,1,1,0,0,0,0
"T153","Presentation","IL",-1,1,1,0,0,0,0
"T154","RestingBaseline","IL",1,1,1,0,0,0,0
"T154","BaselineWriting","IL",1,1,1,0,0,0,0
"T154","StressCondition","IL",1,1,1,0,0,0,0
"T154","DualTask","IL",1,1,1,0,0,0,0
"T154","Presentation","IL",1,-1,1,0,0,0,0
"T156","RestingBaseline","IL",1,1,1,0,0,0,0
"T156","BaselineWriting","IL",1,1,1,0,0,0,0
"T156","StressCondition","IL",1,1,1,0,0,0,0
"T156","DualTask","IL",1,1,1,0,0,0,0
"T156","Presentation","IL",1,1,1,0,0,0,0
"T157","RestingBaseline","IL",1,1,1,0,0,1,1
"T157","BaselineWriting","IL",1,1,1,0,0,1,1
"T157","StressCondition","IL",1,1,1,0,0,1,1
"T157","DualTask","IL",1,1,1,0,0,1,1
"T157","Presentation","IL",1,1,1,0,0,1,1
"T160","RestingBaseline","IL",1,1,1,0,0,0,0
"T160","BaselineWriting","IL",1,1,1,0,0,0,0
"T160","StressCondition","IL",1,1,1,0,0,0,0
"T160","DualTask","IL",1,1,1,0,0,0,0
"T166","RestingBaseline","BL",1,1,1,0,0,0,0
"T166","BaselineWriting","BL",1,1,1,0,0,0,0
"T166","StressCondition","BL",1,1,1,0,0,0,0
"T166","DualTask","BL",1,1,1,0,0,0,0
"T166","Presentation","BL",1,1,1,0,0,0,0
"T172","RestingBaseline","BL",1,1,1,0,0,0,0
"T172","BaselineWriting","BL",1,1,1,0,0,0,0
"T172","StressCondition","BL",1,1,1,0,0,0,0
"T172","DualTask","BL",1,1,1,0,0,0,0
"T172","Presentation","BL",1,1,1,0,0,0,0
"T173","RestingBaseline","BL",1,1,1,0,0,0,0
"T173","BaselineWriting","BL",1,1,1,0,0,0,0
"T173","StressCondition","BL",1,1,1,0,0,0,0
"T173","DualTask","BL",1,1,1,0,0,0,0
"T175","RestingBaseline","BL",1,1,1,0,0,1,1
"T175","BaselineWriting","BL",1,1,1,0,0,1,1
"T175","StressCondition","BL",1,1,1,0,0,1,1
"T175","DualTask","BL",1,1,1,0,0,1,1
"T175","Presentation","BL",1,1,1,0,0,1,1
"T176","RestingBaseline","BL",1,1,1,0,0,1,1
"T176","BaselineWriting","BL",1,1,1,0,0,1,1
"T176","StressCondition","BL",1,1,1,0,0,1,1
"T176","DualTask","BL",1,1,-1,0,0,1,1
"T176","Presentation","BL",1,-1,1,0,0,1,1
"T178","RestingBaseline","BL",1,-1,1,0,0,1,1
"T178","BaselineWriting","BL",1,-1,1,0,0,1,1
"T178","StressCondition","BL",1,-1,1,0,0,1,1
"T178","DualTask","BL",1,-1,1,0,0,1,1
"T178","Presentation","BL",1,-1,1,0,0,1,1
